"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"TMPO"	"TMPO"	"HOXB5"	"HCFC2"	"HCFC2"	"NSMCE4A"				"PRRX1"		"FLII"	"ACOT8"			"MRPS2"			"COPB1"						"CYP2R1"	"CYP2R1"	"PAGE2"
"ZNF706"	"ZNF706"	"GRIA2"	"AICDA"	"AICDA"	"VSIR"				"MECR"		"BET1L"	"CSTF2"			"GLIPR2"			"PHF20L1"						"PRELID2"	"PRELID2"	"PPIL3"
"LRAT"	"LRAT"	"SEC16B"	"MAK"	"MAK"	"BCCIP"				"RGS2"		"ASB8"	"FMR1"			"SPATS2"			"SAMD10"						"C17orf58"	"C17orf58"	"EIF6"
"MND1"	"MND1"	"PLXDC2"	"TMEM14C"	"TMEM14C"	"CCDC6"				"COQ6"		"ADAMTSL1"	"PIM2"			"CDK2"			"HSD17B3"						"ARL4C"	"ARL4C"	"TMEM35B"
"CD80"	"CD80"	"MYOT"	"RNGTT"	"RNGTT"	"UBE2S"				"MTRF1"		"NDUFV2"	"CCL17"			"ENKD1"			"NDUFA2"						"ADAT2"	"ADAT2"	"KIR2DL3"
"ZCCHC17"	"ZCCHC17"	"NR2C1"	"MAPK14"	"MAPK14"	"RUNDC3A"				"EXOSC8"		"CCDC89"	"MPG"			"VAPB"			"NINJ1"						"DUSP21"	"DUSP21"	"TEN1"
"GTDC1"	"GTDC1"	"SOCS2"	"IL17A"	"IL17A"	"PNPO"				"TARDBP"		"RAB39A"	"CRYM"			"STAU1"			"PEX11B"						"MPHOSPH8"	"MPHOSPH8"	"TAF9"
"CD244"	"CD244"	"DUSP4"	"CILK1"	"CILK1"	"RPS6KB1"				"IAPP"		"MTURN"	"NCALD"			"SH3TC1"			"RHPN2"						"PTPN1"	"PTPN1"	"CCL3L3"
"SERAC1"	"SERAC1"	"PDLIM2"	"FBXO9"	"FBXO9"	"CBX1"				"IFT81"		"CMTR2"	"ECH1"			"DYNLRB1"			"LGALS3"						"FGF16"	"FGF16"	"CAST"
"BBS9"	"BBS9"	"RNF170"	"RPS12"	"RPS12"	"PFN1"				"BTN2A2"		"MRPS16"	"VRK3"			"KRT36"			"TRIM21"						"HRH1"	"HRH1"	
"EEPD1"	"EEPD1"	"COPS5"	"EPM2A"	"EPM2A"	"LGALS3BP"				"SIRT5"		"PMCH"	"ICAM4"			"NSRP1"			"CCT6B"						"ZSCAN16"	"ZSCAN16"	
"MRM2"	"MRM2"	"TRMT1L"	"SLC39A7"	"SLC39A7"	"ASIC2"				"XPO5"		"TP53TG3"	"COPE"			"UQCR11"			"INPP5K"						"METTL9"	"METTL9"	
"GLIPR2"	"GLIPR2"	"CRY2"	"FAM120B"	"FAM120B"	"DUSP3"				"NDUFA1"		"HOATZ"	"PON3"			"DCTD"			"ERAL1"						"MRPL21"	"MRPL21"	
"CLTA"	"CLTA"	"GJB6"	"HBEGF"	"HBEGF"	"DHRS7B"				"TNFSF14"		"ST6GALNAC3"	"GSDME"			"C3orf20"			"DUSP26"						"HOXC6"	"HOXC6"	
"CISD1"	"CISD1"	"PAEP"	"CCNG1"	"CCNG1"	"ZNF330"				"BPIFB1"		"F8"	"HOXA1"			"NINJ1"			"PPHLN1"						"NTRK1"	"NTRK1"	
"NECAB1"	"NECAB1"	"MRPS2"	"SUB1"	"SUB1"	"KLHL2"				"PSMB2"		"RPS27L"	"GRB10"			"ZNF414"			"RTL8C"						"TCAF1"	"TCAF1"	
"ORMDL2"	"ORMDL2"	"IFT81"	"TARS1"	"TARS1"	"AADAT"				"PROZ"		"STAC3"	"BLVRA"			"GSTM5"			"CDCA8"						"MTOR"	"MTOR"	
"NFE2"	"NFE2"	"TSFM"	"IL4"	"IL4"	"GALNT7"				"OMD"		"INKA1"	"YKT6"			"TPGS2"			"CAPRIN1"						"CD247"	"CD247"	
"NMI"	"NMI"	"CDK2"	"NR3C1"	"NR3C1"	"DCPS"				"FBXL12"		"CDIN1"	"AMBP"			"CD36"			"EIF4E2"						"EFCAB2"	"EFCAB2"	
"RAP2C"	"RAP2C"	"KCNJ2"	"CSNK1A1"	"CSNK1A1"	"CHORDC1"				"PRKRIP1"		"PDZD7"	"PSMD11"			"STX11"			"WDR33"						"FANK1"	"FANK1"	
"CKS2"	"CKS2"	"AGO2"	"ERGIC1"	"ERGIC1"	"HIPK3"				"WDFY4"		"POFUT2"	"ANXA10"			"PIGC"			"TPMT"						"PCDHA7"	"PCDHA7"	
"TTPAL"	"TTPAL"	"ENKD1"	"CPEB4"	"CPEB4"	"ACCS"				"OLFM1"		"CYP4A11"	"HCFC2"			"STXBP1"			"IL18BP"						"HBM"	"HBM"	
"SRSF6"	"SRSF6"	"PARD6B"	"ZNF346"	"ZNF346"	"CARS1"				"C3orf20"		"IFNA2"	"MAPK14"			"SLC22A7"			"PRCP"						"STK38L"	"STK38L"	
"RBPJL"	"RBPJL"	"NAGK"	"TBCCD1"	"TBCCD1"	"PSMD9"				"TUBG1"		"HLA-DRB1"	"FAM120B"			"NARS2"			"CYP2C8"						"ADAT3"	"ADAT3"	
"MAGEA10"	"MAGEA10"	"SERPINB6"	"PCCB"	"PCCB"	"ASIC1"				"TMEM204"		"THEM5"	"HBEGF"			"SDCBP"			"MMAB"						"C19orf73"	"C19orf73"	
"SNRNP27"	"SNRNP27"	"CPNE5"	"HYAL1"	"HYAL1"	"KCTD10"				"NINJ1"		"MMP1"	"TARS1"			"SLAIN1"			"MORN3"						"JRK"	"JRK"	
"MRS2"	"MRS2"	"TEKT3"	"CYB561D2"	"CYB561D2"	"RSRC2"				"RTBDN"		"VKORC1L1"	"ARL6"			"SEPTIN12"			"DCAF5"						"ATP5MF"	"ATP5MF"	
"OARD1"	"OARD1"	"MED1"	"ROPN1B"	"ROPN1B"	"LIN7A"				"INPP5K"		"ADARB1"	"PCCB"			"RAB40B"			"KIFC3"						"CFHR1"	"CFHR1"	
"RIOK1"	"RIOK1"	"KLC1"	"MRPL3"	"MRPL3"	"METAP2"				"JCHAIN"		"CDC42SE1"	"NCBP2"			"MOB3C"			"MEAK7"						"BCKDHA"	"BCKDHA"	
"SH3TC1"	"SH3TC1"	"KRT36"	"COMMD2"	"COMMD2"	"PRMT8"				"PCNA"		"MBP"	"ZAP70"			"PROK1"			"RPTOR"						"PDCD6"	"PDCD6"	
"GRK4"	"GRK4"	"CSN1S1"	"ZAP70"	"ZAP70"	"RAD51AP1"				"PEMT"		"AKR1B10"	"EPB41L5"			"MPC2"			"GRB7"						"DCANP1"	"DCANP1"	
"RPL23"	"RPL23"	"STATH"	"EPB41L5"	"EPB41L5"	"ACAD10"				"ZFC3H1"		"SPANXC"	"CLIP4"			"UCK2"			"CAPN10"						"RASL10B"	"RASL10B"	
"GNRH2"	"GNRH2"	"AHDC1"	"NRBP1"	"NRBP1"	"CDKN1B"				"DPH6"		"ECI2"	"EVA1A"			"SMYD2"			"ZNF593"						"IL32"		
"ARMCX5"	"ARMCX5"	"MAP2K2"	"RPS15"	"RPS15"	"RFC5"				"GSTM3"		"TGM2"	"LRRC42"			"RAB13"			"JTB"						"SLC6A13"		
"PROZ"	"PROZ"	"RGS13"	"NDUFS7"	"NDUFS7"	"STX2"				"PPHLN1"		"TSBP1"	"MECR"			"SNAPIN"			"HAX1"						"ERCC1"		
"FRMD8"	"FRMD8"	"RAB3IP"	"CLIP4"	"CLIP4"	"COPS7A"				"FST"		"HMGN1"	"UAP1"			"SLC39A1"			"TRIM43"						"NR1H4"		
"PRMT1"	"PRMT1"	"CRYGN"	"EVA1A"	"EVA1A"	"CDCA3"				"ACRV1"		"SLC48A1"	"AKR1A1"			"CDCA7"			"PLAC8"						"MDH1"		
"DNAJC8"	"DNAJC8"	"FBXL12"	"MRPL19"	"MRPL19"	"SPSB2"				"CAPRIN1"		"TSSK1B"	"NSL1"			"RASA1"			"TNIP1"						"GLRX2"		
"IFI6"	"IFI6"	"CDC42EP1"	"UXS1"	"UXS1"	"ENO2"				"TSPAN31"		"KLK9"	"RPA2"			"IL9"			"MRPS28"						"ANK1"		
"UXT"	"UXT"	"RNF112"	"ORC4"	"ORC4"	"SUDS3"				"ACVR1B"		"TCL1B"	"LDAH"			"SCML4"			"GSN"						"IARS2"		
"FAM78A"	"FAM78A"	"PRKRIP1"	"RND3"	"RND3"	"PRKAB1"				"CCT7"		"CCL27"	"IFI27L2"			"IFNA5"			"MIGA2"						"KCNAB2"		
"IPPK"	"IPPK"	"CHN1"	"TIA1"	"TIA1"	"CMAS"				"MRPL47"		"TBC1D26"	"GRIA2"			"ACTL7B"			"CNDP1"						"ZXDC"		
"OMD"	"OMD"	"ORMDL1"	"MARK1"	"MARK1"	"BTN3A3"				"RALGPS1"		"TAFA5"	"TTLL2"			"MTG1"			"DDX4"						"RPS6KA6"		
"EDN2"	"EDN2"	"PSMG2"	"LRRC42"	"LRRC42"	"SMIM8"				"DCTN3"		"EGFL8"	"NR2C1"			"CHEK1"			"CPB1"						"PTGS2"		
"RAP1B"	"RAP1B"	"TWSG1"	"ATP5PB"	"ATP5PB"	"FAM184A"				"FRS3"		"ATP5PO"	"SOCS2"			"TIMM8B"			"SMARCA5"						"FOSL2"		
"IL22"	"IL22"	"WDFY4"	"RGS2"	"RGS2"	"SRSF3"				"FGFBP2"		"ARHGDIG"	"RNF170"			"LYZL2"			"C16orf74"						"TPD52"		
"APOL3"	"APOL3"	"CCDC32"	"CDC20"	"CDC20"	"BAG2"				"PRCP"		"STON1"	"COPS5"			"TEX30"			"FLCN"						"RARB"		
"IGLL1"	"IGLL1"	"IVD"	"AKR1A1"	"AKR1A1"	"SMAP1"				"PI15"		"NME2"	"TRMT1L"			"CPB1"			"OXNAD1"						"CPNE3"		
"CALU"	"CALU"	"ARPP19"	"NSUN4"	"NSUN4"	"GMNN"				"NEK1"		"GSTA1"	"GJB6"			"FBXO36"			"SAMD8"						"ERO1B"		
"MRPS12"	"MRPS12"	"TPH1"	"DHDDS"	"DHDDS"	"SMOC2"				"MMP13"		"NFS1"	"PFDN5"			"PDZD9"			"TMED6"						"SLC7A8"		
"MYO5C"	"MYO5C"	"CSRP3"	"NSL1"	"NSL1"	"PPP2R5D"				"ANXA7"		"GSTA2"	"CDK2"			"PABIR3"			"APPL1"						"ECHDC1"		
"TTBK2"	"TTBK2"	"PIMREG"	"STK11"	"STK11"	"DNPH1"				"AP1AR"		"C17orf49"	"TBC1D20"			"NMNAT2"			"C9orf43"						"SIRT1"		
"VCY1B"	"VCY1B"	"RPAIN"	"APOA1"	"APOA1"	"TTK"				"RGS3"		"TIMM23"	"AHDC1"			"DHRS1"			"HLCS"						"CYTH4"		
"NXNL2"	"NXNL2"	"NEDD8"	"UBE3D"	"UBE3D"	"NUDT12"				"MMAB"		"SSX4"	"SIX1"			"CCNB2"			"BEND5"						"PACSIN2"		
"GNL3L"	"GNL3L"	"ABHD17A"	"MYB"	"MYB"	"CEP72"				"SLAIN1"		"LYZL6"	"PRKRIP1"			"NAE1"			"TFB2M"						"C14orf93"		
"ELOF1"	"ELOF1"	"PHF10"	"GHRH"	"GHRH"	"DAP"				"RDH12"			"WDFY4"			"C16orf86"			"TRIM17"						"YY1"		
"RPL36"	"RPL36"	"RTN4IP1"	"LDAH"	"LDAH"	"HSPA9"				"DCAF5"			"IVD"			"BRSK1"			"TAFA4"						"CD40"		
"PGLS"	"PGLS"	"ACTN4"	"NDUFB3"	"NDUFB3"	"PFDN1"				"TRIM65"			"CSRP3"			"CCDC12"			"ICOS"						"PSMD7"		
"SNX9"	"SNX9"	"SAMD10"	"PTBP3"	"PTBP3"	"ITK"				"EMP3"			"RPAIN"			"LY6E"			"CXCL5"						"HAS3"		
"MTRES1"	"MTRES1"	"HSD17B3"	"NEK6"	"NEK6"	"PPWD1"				"MOB3C"			"ABHD17A"			"COX7A1"			"SPDYA"						"ELOB"		
"ARPC1B"	"ARPC1B"	"UBA1"	"IFI27L2"	"IFI27L2"	"AMOTL2"				"C1orf162"			"ADRM1"			"SPC24"			"TPRA1"						"FGL1"		
"PPAN"	"PPAN"	"CAPN7"	"ZC2HC1C"	"ZC2HC1C"	"FAM162A"				"DYRK3"			"HSD17B3"			"ZG16B"			"STK17A"						"ASAH1"		
"MPP1"	"MPP1"	"PDLIM4"	"ATL2"	"ATL2"	"KPNA1"				"ACP1"			"CAPN7"			"MAGOH"			"TAGAP"						"CGB3"		
"ATP6V1E1"	"ATP6V1E1"	"BARX1"	"IDE"	"IDE"	"ARMC8"				"NAT8"			"C3orf20"			"PPM1L"			"ARHGAP12"						"GCDH"		
"COX4I1"	"COX4I1"	"CCT6B"	"HELLS"	"HELLS"	"SERPINI2"				"TMEM177"			"TUBG1"			"ICOS"			"SPTSSA"						"FUBP3"		
"PPT1"	"PPT1"	"RAMP1"	"AVPI1"	"AVPI1"	"PRKAR2A"				"RHBDD1"			"BARX1"			"IL17RE"			"LRR1"						"ATE1"		
"SLC6A6"	"SLC6A6"	"RPA1"	"HOXB5"	"HOXB5"	"ACAP2"				"IL9"			"CCT6B"			"HPS3"			"CASP7"						"ALDH3A1"		
"KIF3A"	"KIF3A"	"SLC52A1"	"GRIA2"	"GRIA2"	"CBLB"				"TIMD4"			"HSPBP1"			"MEAF6"			"SERPINB8"						"MAPK10"		
"ANKHD1"	"ANKHD1"	"SYT4"	"MRPS14"	"MRPS14"	"GBE1"				"TBC1D7"			"CDK7"			"STARD4"			"HDGFL3"						"JHY"		
"TMEM204"	"TMEM204"	"VCF1"	"CENPL"	"CENPL"	"NCBP2"				"GFOD1"			"MEIS2"			"PDSS2"			"NDEL1"						"VWA5A"		
"FMO5"	"FMO5"	"ZNF414"	"SEC16B"	"SEC16B"	"SNX4"				"PLA2G7"			"GSTM3"			"COX6C"			"C18orf54"						"CHORDC1"		
"THAP1"	"THAP1"	"CNDP2"	"MTRF1"	"MTRF1"	"ABTB1"				"SCML4"			"PPHLN1"			"METTL27"			"TMEM92"						"KCTD10"		
"C19orf12"	"C19orf12"	"TMEM254"	"NR2C1"	"NR2C1"	"ACVR2B"				"MTFR2"			"CCNH"			"PKNOX2"			"AXL"						"MYF6"		
"LGALS3"	"LGALS3"	"IMPA1"	"ARL1"	"ARL1"	"ABHD14B"				"AIG1"			"PRH2"			"PRDX3"			"TRAPPC9"						"ELK3"		
"BRME1"	"BRME1"	"ZFC3H1"	"PDLIM2"	"PDLIM2"	"TNNC1"				"IFNA5"			"ACRV1"			"TMEM100"			"CTRB1"						"CMAS"		
"PTCD3"	"PTCD3"	"MRO"	"RNF170"	"RNF170"	"NEK4"				"IFNK"			"PSAT1"			"B2M"			"APEX2"						"FGFR1OP2"		
"MYBBP1A"	"MYBBP1A"	"CDK7"	"SLC35B1"	"SLC35B1"	"MOB1A"				"ACTL7B"			"SRPK2"			"PATL1"			"ZRSR2"						"FAM184A"		
"JCHAIN"	"JCHAIN"	"MEIS2"	"ECHDC2"	"ECHDC2"	"KANSL3"				"SURF2"			"CCT7"			"MS4A6E"			"GPS1"						"QKI"		
"PCBD2"	"PCBD2"	"GSTM3"	"TRMT1L"	"TRMT1L"	"RTKN"				"ACAD8"			"GLUL"			"DOLPP1"			"LIMS1"						"DNPH1"		
"PCNA"	"PCNA"	"PPHLN1"	"CRY2"	"CRY2"	"IL1A"				"PABPC3"			"DNAJB2"			"NFKBID"			"TMEM42"						"PFDN1"		
"ACY3"	"ACY3"	"DTNA"	"GJB6"	"GJB6"	"STEAP3"				"PSTPIP2"			"SPRY2"			"SDHAF2"			"MRAP"						"PFKFB4"		
"RBM38"	"RBM38"	"C5AR2"	"MTIF3"	"MTIF3"	"GCA"				"IGSF10"			"IL1RN"			"SF1"			"SETMAR"						"ACVR2B"		
"BHMT2"	"BHMT2"	"PDGFRA"	"MTERF4"	"MTERF4"	"DOK1"				"PANK1"			"RALGPS1"			"PPDPFL"			"CAVIN4"						"NEK4"		
"ZMYM5"	"ZMYM5"	"ANXA1"	"PAEP"	"PAEP"	"GALNT3"				"STK32B"			"ANGPTL2"			"RFWD3"			"CLDN20"						"PCSK4"		
"DCLK1"	"DCLK1"	"CTSL"	"OBP2A"	"OBP2A"	"FANCL"				"CPB1"			"BPHL"			"HTR1E"			"SYCE1"						"DOK1"		
"TPT1"	"TPT1"	"PSAT1"	"ARL4A"	"ARL4A"	"ELMOD3"				"CARHSP1"			"PRCP"			"ALCAM"			"PWWP2B"						"FBXO6"		
"CSNK1G2"	"CSNK1G2"	"HILPDA"	"MRM2"	"MRM2"	"HSPE1"				"WNT3A"			"TTPA"			"TMEM182"			"MRM3"						"NCF2"		
"C1QTNF6"	"C1QTNF6"	"SRPK2"	"GLIPR2"	"GLIPR2"	"IL1R2"				"FLCN"			"RTF1"			"ARMC10"			"PRNP"						"ATP6V0B"		
"DPF2"	"DPF2"	"BLOC1S1"	"ACO1"	"ACO1"	"PPP1R7"				"MPPE1"			"SEC31A"			"PRKCE"			"CYP4F11"						"MESD"		
"ARL8B"	"ARL8B"	"TEC"	"TSFM"	"TSFM"	"ARID3A"				"N6AMT1"			"BMPR1B"			"PAH"			"PPP1CA"						"CA14"		
"AP4B1"	"AP4B1"	"CCT7"	"ARHGAP9"	"ARHGAP9"	"ATP6V1B1"				"CCT8"			"ZNF740"			"ATPAF2"			"MRPL52"						"CPSF3"		
"ROCK2"	"ROCK2"	"GLUL"	"MMP19"	"MMP19"	"CACYBP"				"FGF18"			"DCAF5"			"ORMDL3"			"BTC"						"TEK"		
"LDHA"	"LDHA"	"DNAJB2"	"AGO2"	"AGO2"	"RPL22"				"SH3RF2"			"TLE3"			"SERF1A"			"PDE12"						"MTRF1"		
"TPGS2"	"TPGS2"	"EIF4E2"	"ENKD1"	"ENKD1"	"SCAMP3"				"LHFPL4"			"TPM1"			"ALG14"			"FUT1"						"EXOSC8"		
"ARGLU1"	"ARGLU1"	"SPRY2"	"ZBP1"	"ZBP1"	"TRIM62"				"CD1B"			"RLBP1"			"GLRX"			"CTBP2"						"PAIP2"		
"NREP"	"NREP"	"KAT7"	"NDP"	"NDP"	"MEF2D"				"NPM2"			"SLC5A2"			"SULT1B1"			"CSRP2"						"ARL1"		
"RFK"	"RFK"	"IL36G"	"SIRT5"	"SIRT5"	"FBXO6"				"PRAC1"			"RETREG3"			"PELI3"			"NPPA"						"LRAT"		
"TAOK3"	"TAOK3"	"IL1RN"	"RPS10"	"RPS10"	"ADPRS"				"C16orf86"			"GRB7"			"SPSB4"			"PHYKPL"						"ACVR2A"		
"RNFT2"	"RNFT2"	"IL36B"	"MAD2L1BP"	"MAD2L1BP"	"AIRIM"				"PDE9A"			"SCYL1"			"PHYKPL"			"CLCF1"						"SERAC1"		
"EPHA7"	"EPHA7"	"WDR33"	"CDKN1A"	"CDKN1A"	"BLZF1"				"ENTREP3"			"C1orf162"			"UBQLNL"			"UBQLNL"						"MRM2"		
"CDK4"	"CDK4"	"ANGPTL2"	"NRN1"	"NRN1"	"DR1"				"LMNA"			"NME7"			"CTDNEP1"			"DCAF4L2"						"SMUG1"		
"HNRNPA1"	"HNRNPA1"	"SLC31A1"	"PHAF1"	"PHAF1"	"CNN3"				"LRRC14"			"NPHP1"			"TALDO1"			"RBIS"						"RNF114"		
"NPL"	"NPL"	"KIF12"	"GRK4"	"GRK4"	"HSD11B1"				"KASH5"			"CDCA7"			"GCC1"			"TCEANC"						"NQO2"		
"ITM2C"	"ITM2C"	"RABEPK"	"FNDC11"	"FNDC11"	"RSRP1"				"LARP4"			"METTL21A"			"HOATZ"			"PTGR3"						"TBCC"		
"SERPINE2"	"SERPINE2"	"DERL1"	"TNFSF14"	"TNFSF14"	"RCOR3"				"IL24"			"SLC25A26"			"SNRNP35"			"MTURN"						"AMOT"		
"VPS36"	"VPS36"	"RANBP6"	"NRSN2"	"NRSN2"	"NEK2"				"TRIM17"			"IL9"			"STING1"			"PCGF5"						"ELK1"		
"RCBTB1"	"RCBTB1"	"BPHL"	"MKKS"	"MKKS"	"PPP1R8"				"SCNM1"			"PLPP5"			"CYP2R1"			"ACSM5"						"CALU"		
"HUS1"	"HUS1"	"ATAT1"	"PSMB2"	"PSMB2"	"OSBPL9"				"NAXE"			"MRRF"			"RUFY4"			"F8"						"IRF5"		
"TM6SF1"	"TM6SF1"	"TPMT"	"HCST"	"HCST"	"MESD"				"ABHD6"			"GBGT1"			"UROS"			"RAD51D"						"DUT"		
"NMT1"	"NMT1"	"IL18BP"	"THRA"	"THRA"	"MMP8"				"IL17RE"			"MTG1"			"CD55"			"PNLIPRP1"						"DCTD"		
"SRSF1"	"SRSF1"	"PRCP"	"DNAJC8"	"DNAJC8"	"CREB1"				"IL15"			"SLC22A9"			"PRTN3"			"CYP4A11"						"NXNL2"		
"IL10"	"IL10"	"NARS2"	"AHDC1"	"AHDC1"	"HMGN3"				"SPZ1"			"NGLY1"			"ADH1B"			"ZKSCAN7"						"SAFB2"		
"CDK9"	"CDK9"	"PI15"	"MAP2K2"	"MAP2K2"	"TGIF2"				"SPAG11B"			"TMEM18"			"IFT70A"			"HRH1"						"OSBPL2"		
"RPL35"	"RPL35"	"TTPA"	"RGS13"	"RGS13"	"SPP1"				"QNG1"			"IGSF10"			"HOXC6"			"GZMM"						"THEMIS2"		
"CCL21"	"CCL21"	"RTF1"	"EDN2"	"EDN2"	"GTF3C3"				"ANKS6"			"PANK1"			"ELOVL2"			"CDC42SE1"						"CASZ1"		
"IFNA21"	"IFNA21"	"MFSD13A"	"DYRK2"	"DYRK2"	"CPSF3"				"NDUFB6"			"NCAM2"			"CSF2RA"			"KRTAP26-1"						"COX4I1"		
"CNPY3"	"CNPY3"	"ANXA7"	"CRYGN"	"CRYGN"	"GALNT12"				"SALL2"			"COX6A2"			"OGA"			"HOXC6"						"C3orf20"		
"PIM1"	"PIM1"	"SEC31A"	"FBXL12"	"FBXL12"	"BBOF1"				"TC2N"			"DDX19B"			"HMGN2"			"MAK16"						"SLC6A6"		
"CLPS"	"CLPS"	"BBS7"	"WDR24"	"WDR24"	"NEK9"				"IL25"			"RIBC1"			"HLA-DMA"			"STK39"						"TUBG1"		
"CFAP300"	"CFAP300"	"BMPR1B"	"ECHS1"	"ECHS1"	"COQ6"				"POLL"			"NPM2"			"CNEP1R1"			"PAPSS2"						"NINJ1"		
"MMP13"	"MMP13"	"BMP2K"	"SPINK2"	"SPINK2"	"KLHL29"				"COX11"			"ALDH4A1"			"DOK6"			"HSPA1L"						"RTBDN"		
"LRRC49"	"LRRC49"	"GUCD1"	"RASL11B"	"RASL11B"	"CUTC"				"WDR88"			"UBQLN4"			"TSSK1B"			"SARNP"						"JCHAIN"		
"KYAT3"	"KYAT3"	"RBP5"	"CDC42EP1"	"CDC42EP1"	"C10orf88"				"ANPEP"			"TMEM143"			"UBD"			"CSNK1E"						"FCRL2"		
"RABGGTB"	"RABGGTB"	"PHLDA1"	"LIF"	"LIF"	"PANK3"				"TTC16"			"GBP2"			"PRR23E"			"MTCP1"						"TESMIN"		
"GIPC2"	"GIPC2"	"SLAIN1"	"APOBEC3F"	"APOBEC3F"	"EQTN"				"AXL"			"TRIM17"			"TIGD1"			"TMA7"						"BHMT2"		
"PNPT1"	"PNPT1"	"FITM1"	"RNF112"	"RNF112"	"PCMT1"				"CDK2AP2"			"SUCLG1"			"ORM1"			"CKMT1B"						"ZMYM5"		
"DYNC2LI1"	"DYNC2LI1"	"DCAF5"	"DNAJB9"	"DNAJB9"	"TNFSF18"				"TK1"			"PPM1L"			"OR10G8"			"STON1"						"DCLK1"		
"ENTPD1"	"ENTPD1"	"TLE3"	"MRPS12"	"MRPS12"	"GORAB"				"NT5DC2"			"TPRA1"			"ARPC4"			"ZHX1-C8orf76"						"MED6"		
"OLA1"	"OLA1"	"HMG20A"	"OSGEPL1"	"OSGEPL1"	"TTLL2"				"CDC40"			"ETNPPL"			"AP5Z1"			"SRSF8"						"TPGS2"		
"COX17"	"COX17"	"TPM1"	"TWSG1"	"TWSG1"	"SNX19"				"PHYHIP"			"PRMT9"			"KIR2DL3"			"ZNF280B"						"NPL"		
"ARHGAP24"	"ARHGAP24"	"CYP1A2"	"WDFY4"	"WDFY4"	"PDZD11"				"CTRB1"			"CMBL"			"GJA5"									"TOR1A"		
"HADH"	"HADH"	"RLBP1"	"IVD"	"IVD"	"KIAA1217"				"PXDC1"			"ANKS6"			"CGB1"									"PNPT1"		
"RGS3"	"RGS3"	"CPNE2"	"PIMREG"	"PIMREG"	"LYZL1"				"APEX2"			"ARHGAP12"			"LYZL6"									"CARF"		
"PDE6H"	"PDE6H"	"CMTM3"	"RPAIN"	"RPAIN"	"SOHLH2"				"RAB24"			"ENOX2"												"ARHGAP24"		
"AEBP2"	"AEBP2"	"RETREG3"	"PUS7L"	"PUS7L"	"PAIP2"				"SLC50A1"			"CASP7"												"PPP3CA"		
"LLPH"	"LLPH"	"GRB7"	"RAB2B"	"RAB2B"	"SOCS2"				"UMOD"			"C16orf78"												"NUP58"		
"POC1B"	"POC1B"	"SCYL1"	"EPB41L4A"	"EPB41L4A"	"NFYB"				"TM2D2"			"TRIM44"												"ACVRL1"		
"GAS2L3"	"GAS2L3"	"ZNF593"	"FGF13"	"FGF13"	"DUSP4"				"CNBP"			"BMERB1"												"TMX1"		
"NUP58"	"NUP58"	"WDTC1"	"GNL3L"	"GNL3L"	"PTK2B"				"LIMS1"			"TTC16"												"MYLK3"		
"TARBP2"	"TARBP2"	"MOB3C"	"PLVAP"	"PLVAP"	"RDH10"				"PUSL1"			"HOOK3"												"SLC2A5"		
"ACVRL1"	"ACVRL1"	"C1orf162"	"MRPL34"	"MRPL34"	"COIL"				"GTSF1"			"UBTD2"												"PROK1"		
"RDH12"	"RDH12"	"NME7"	"RTN4IP1"	"RTN4IP1"	"MND1"				"TADA3"			"APEX2"												"RGS5"		
"CLBA1"	"CLBA1"	"RXRG"	"ARPC1B"	"ARPC1B"	"IAPP"				"CSN3"			"ZRSR2"												"POGZ"		
"SLC12A6"	"SLC12A6"	"ANP32E"	"OLFM1"	"OLFM1"	"ZSCAN18"				"KRT15"			"TRH"												"S100A7"		
"SORD"	"SORD"	"TPM3"	"METTL26"	"METTL26"	"FYTTD1"				"PAH"			"DDI1"												"C1orf43"		
"BCL2A1"	"BCL2A1"	"SLC39A1"	"PNCK"	"PNCK"	"SASH3"				"POP7"			"JAGN1"												"UBR3"		
"NEIL1"	"NEIL1"	"GUK1"	"TEX101"	"TEX101"	"MYOG"				"ZNF24"			"PWWP2B"												"CTDSP1"		
"CYP1A1"	"CYP1A1"	"PTPN7"	"COX4I1"	"COX4I1"	"SERAC1"				"TOMM20"			"FRMD5"												"TAGLN3"		
"FANCI"	"FANCI"	"TRIM43"	"CAPN7"	"CAPN7"	"ANXA11"				"MARCHF10"			"MAL"												"POMZP3"		
"MYLK3"	"MYLK3"	"DUSP11"	"SLC6A6"	"SLC6A6"	"SEPTIN7"				"RAB1B"			"SUCLG2"												"IL2RG"		
"ADAD2"	"ADAD2"	"CDCA7"	"G6PC1"	"G6PC1"	"EEPD1"				"KCTD13"			"ESRRA"												"IGSF1"		
"NDUFB10"	"NDUFB10"	"TRPM8"	"NDUFA2"	"NDUFA2"	"CLTA"				"FUT1"			"CCDC106"												"DNAJC5B"		
